03-12-2025 15:37:04 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [16%@1189,7%@1190,4%@1190,7%@1190,14%@1190,12%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@41.5C CPU@41C thermal@40.9C AO@41C GPU@40C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4971mW VDD_CPU_GPU_CV 655mW/728mW VDD_SOC 1104mW/1107mW
03-12-2025 15:37:07 RAM 4461/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [15%@1189,17%@1190,4%@1190,4%@1190,10%@1189,4%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@41.5C CPU@40.5C thermal@40.9C AO@40.5C GPU@40C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4964mW VDD_CPU_GPU_CV 614mW/723mW VDD_SOC 1104mW/1107mW
03-12-2025 15:37:10 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [18%@1189,10%@1190,8%@1190,4%@1189,14%@1189,3%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 8%@[114] VIC_FREQ 601 APE 150 AUX@41.5C CPU@40.5C thermal@40.4C AO@40.5C GPU@39.5C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4959mW VDD_CPU_GPU_CV 655mW/720mW VDD_SOC 1104mW/1107mW
03-12-2025 15:37:13 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [8%@1190,6%@1189,19%@1189,8%@1190,7%@1190,3%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@41C CPU@40.5C thermal@40.4C AO@40C GPU@39.5C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4952mW VDD_CPU_GPU_CV 614mW/716mW VDD_SOC 1063mW/1105mW
03-12-2025 15:37:16 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [16%@1190,17%@1190,5%@1190,5%@1190,6%@1190,7%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@41C CPU@40.5C thermal@40.25C AO@40C GPU@39C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4948mW VDD_CPU_GPU_CV 655mW/714mW VDD_SOC 1104mW/1105mW
03-12-2025 15:37:19 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [8%@1189,15%@1189,9%@1185,5%@1190,13%@1190,6%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@41C CPU@40.5C thermal@40.05C AO@40C GPU@39C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4944mW VDD_CPU_GPU_CV 655mW/712mW VDD_SOC 1063mW/1104mW
03-12-2025 15:37:22 RAM 4461/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [13%@1191,5%@1187,12%@1198,8%@1187,8%@1190,4%@1188] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@40.5C CPU@40C thermal@39.9C AO@39.5C GPU@39C iwlwifi@36C PMIC@50C VDD_IN 4751mW/4937mW VDD_CPU_GPU_CV 614mW/708mW VDD_SOC 1063mW/1102mW
03-12-2025 15:37:25 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [17%@1188,15%@1190,2%@1191,2%@1188,11%@1190,10%@1194] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@40.5C CPU@40C thermal@39.9C AO@39.5C GPU@38.5C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4932mW VDD_CPU_GPU_CV 614mW/705mW VDD_SOC 1063mW/1101mW
03-12-2025 15:37:28 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [15%@1189,13%@1190,3%@1190,5%@1192,11%@1190,12%@1267] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@40.5C CPU@40C thermal@39.75C AO@39.5C GPU@38.5C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4929mW VDD_CPU_GPU_CV 655mW/703mW VDD_SOC 1063mW/1100mW
03-12-2025 15:37:31 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [13%@1189,10%@1189,9%@1190,8%@1190,9%@1190,7%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@40C CPU@39.5C thermal@39.4C AO@39C GPU@38.5C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4925mW VDD_CPU_GPU_CV 614mW/701mW VDD_SOC 1063mW/1098mW
