03-13-2025 13:41:29 RAM 3875/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [11%@1190,9%@1190,11%@1190,8%@1190,9%@1190,4%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@46C CPU@45.5C thermal@45.2C AO@45C GPU@44.5C iwlwifi@36C PMIC@50C VDD_IN 4915mW/5005mW VDD_CPU_GPU_CV 655mW/768mW VDD_SOC 1104mW/1105mW
03-13-2025 13:41:32 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [12%@1191,6%@1188,8%@1188,9%@1189,9%@1189,7%@1184] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@46C CPU@45.5C thermal@45.2C AO@45.5C GPU@44.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/5000mW VDD_CPU_GPU_CV 655mW/764mW VDD_SOC 1104mW/1105mW
03-13-2025 13:41:35 RAM 3875/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [16%@1189,13%@1187,10%@1189,12%@1190,15%@1190,8%@1191] EMC_FREQ 0%@1600 GR3D_FREQ 8%@[114] VIC_FREQ 601 APE 150 AUX@46C CPU@45.5C thermal@45.55C AO@45.5C GPU@45C iwlwifi@36C PMIC@50C VDD_IN 5079mW/5003mW VDD_CPU_GPU_CV 819mW/766mW VDD_SOC 1104mW/1105mW
03-13-2025 13:41:38 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [14%@1195,9%@1190,3%@1190,11%@1190,8%@1189,6%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@46.5C CPU@45.5C thermal@45.75C AO@45.5C GPU@45C iwlwifi@36C PMIC@50C VDD_IN 4956mW/5001mW VDD_CPU_GPU_CV 655mW/762mW VDD_SOC 1145mW/1107mW
03-13-2025 13:41:41 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [19%@1190,19%@1190,11%@1189,14%@1189,11%@1190,12%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@46.5C CPU@46.5C thermal@46.05C AO@46C GPU@45.5C iwlwifi@36C PMIC@50C VDD_IN 5570mW/5022mW VDD_CPU_GPU_CV 1269mW/780mW VDD_SOC 1145mW/1108mW
03-13-2025 13:41:44 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [18%@1190,7%@1190,3%@1189,3%@1189,11%@1190,5%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 8%@[114] VIC_FREQ 601 APE 150 AUX@46C CPU@46C thermal@45.7C AO@46C GPU@45C iwlwifi@36C PMIC@50C VDD_IN 4956mW/5020mW VDD_CPU_GPU_CV 696mW/777mW VDD_SOC 1145mW/1109mW
03-13-2025 13:41:47 RAM 3873/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [16%@1189,11%@1190,13%@1181,13%@1192,10%@1189,9%@1192] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@46C CPU@45.5C thermal@45.55C AO@45.5C GPU@45C iwlwifi@36C PMIC@50C VDD_IN 4874mW/5015mW VDD_CPU_GPU_CV 655mW/773mW VDD_SOC 1104mW/1109mW
03-13-2025 13:41:50 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [10%@1191,6%@1194,5%@1188,11%@1190,10%@1190,6%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 8%@[114] VIC_FREQ 601 APE 150 AUX@45.5C CPU@45.5C thermal@45.4C AO@45C GPU@44.5C iwlwifi@36C PMIC@50C VDD_IN 4915mW/5011mW VDD_CPU_GPU_CV 655mW/769mW VDD_SOC 1104mW/1109mW
03-13-2025 13:41:54 RAM 3873/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [12%@1189,6%@1190,9%@1189,10%@1191,5%@1188,3%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@45.5C CPU@45C thermal@44.9C AO@45C GPU@44C iwlwifi@36C PMIC@50C VDD_IN 4874mW/5007mW VDD_CPU_GPU_CV 655mW/765mW VDD_SOC 1104mW/1109mW
03-13-2025 13:41:57 RAM 3873/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [14%@1190,11%@1190,14%@1190,14%@1189,8%@1187,11%@1184] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@45C CPU@45C thermal@44.7C AO@44.5C GPU@43.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/5003mW VDD_CPU_GPU_CV 655mW/762mW VDD_SOC 1104mW/1109mW
