03-13-2025 06:37:20 RAM 4851/6854MB (lfb 9x1MB) SWAP 240/19811MB (cached 38MB) CPU [16%@1190,13%@1190,4%@1190,5%@1190,5%@1190,2%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@41.5C CPU@41.5C thermal@41.2C AO@41C GPU@40.5C iwlwifi@37C PMIC@50C VDD_IN 4751mW/4865mW VDD_CPU_GPU_CV 573mW/647mW VDD_SOC 1063mW/1102mW
03-13-2025 06:37:23 RAM 4850/6854MB (lfb 9x1MB) SWAP 240/19811MB (cached 38MB) CPU [14%@1190,11%@1189,2%@1190,3%@1190,9%@1190,3%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@41.5C CPU@41C thermal@40.9C AO@41C GPU@40C iwlwifi@37C PMIC@50C VDD_IN 4710mW/4858mW VDD_CPU_GPU_CV 532mW/643mW VDD_SOC 1063mW/1100mW
03-13-2025 06:37:26 RAM 4851/6854MB (lfb 9x1MB) SWAP 240/19811MB (cached 38MB) CPU [18%@1190,13%@1190,8%@1190,4%@1191,7%@1189,10%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 14%@[114] VIC_FREQ 601 APE 150 AUX@41.5C CPU@41C thermal@40.9C AO@40.5C GPU@40C iwlwifi@37C PMIC@50C VDD_IN 5201mW/4872mW VDD_CPU_GPU_CV 983mW/656mW VDD_SOC 1104mW/1100mW
03-13-2025 06:37:29 RAM 4851/6854MB (lfb 9x1MB) SWAP 240/19811MB (cached 38MB) CPU [18%@1190,9%@1190,1%@1190,0%@1189,6%@1192,3%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@41.5C CPU@41C thermal@40.55C AO@40.5C GPU@39.5C iwlwifi@37C PMIC@50C VDD_IN 4710mW/4866mW VDD_CPU_GPU_CV 532mW/651mW VDD_SOC 1063mW/1099mW
03-13-2025 06:37:32 RAM 4850/6854MB (lfb 9x1MB) SWAP 240/19811MB (cached 38MB) CPU [13%@1191,7%@1188,4%@1190,10%@1190,4%@1190,5%@1191] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@41C CPU@40.5C thermal@40.4C AO@40.5C GPU@39.5C iwlwifi@37C PMIC@50C VDD_IN 4751mW/4861mW VDD_CPU_GPU_CV 573mW/648mW VDD_SOC 1063mW/1097mW
03-13-2025 06:37:35 RAM 4851/6854MB (lfb 9x1MB) SWAP 240/19811MB (cached 38MB) CPU [11%@1267,4%@1265,3%@1265,7%@1190,10%@1190,4%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@41C CPU@40.5C thermal@40.4C AO@40C GPU@39.5C iwlwifi@37C PMIC@50C VDD_IN 4751mW/4857mW VDD_CPU_GPU_CV 573mW/646mW VDD_SOC 1063mW/1096mW
03-13-2025 06:37:38 RAM 4851/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [20%@1189,14%@1190,15%@1190,15%@1191,18%@1190,14%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@41C CPU@40.5C thermal@40.55C AO@40C GPU@39.5C iwlwifi@37C PMIC@50C VDD_IN 4874mW/4858mW VDD_CPU_GPU_CV 696mW/647mW VDD_SOC 1063mW/1095mW
03-13-2025 06:37:41 RAM 4850/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [11%@1190,6%@1190,2%@1190,6%@1190,8%@1190,5%@1192] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@40.5C CPU@40.5C thermal@40.2C AO@40C GPU@39.5C iwlwifi@37C PMIC@50C VDD_IN 4751mW/4854mW VDD_CPU_GPU_CV 573mW/645mW VDD_SOC 1063mW/1094mW
03-13-2025 06:37:44 RAM 4850/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [13%@1190,13%@1189,3%@1191,2%@1189,3%@1191,3%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@40.5C CPU@40C thermal@40.05C AO@40C GPU@39.5C iwlwifi@37C PMIC@50C VDD_IN 4710mW/4850mW VDD_CPU_GPU_CV 532mW/641mW VDD_SOC 1063mW/1093mW
03-13-2025 06:37:47 RAM 4851/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [21%@1189,15%@1189,7%@1190,6%@1190,5%@1191,10%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@40.5C CPU@40.5C thermal@39.9C AO@40C GPU@39.5C iwlwifi@37C PMIC@50C VDD_IN 4710mW/4845mW VDD_CPU_GPU_CV 573mW/639mW VDD_SOC 1063mW/1092mW
03-13-2025 06:37:50 RAM 4851/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [13%@1189,15%@1191,1%@1190,0%@1189,3%@1189,4%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@40C CPU@40C thermal@39.9C AO@39.5C GPU@39C iwlwifi@37C PMIC@50C VDD_IN 4669mW/4840mW VDD_CPU_GPU_CV 532mW/636mW VDD_SOC 1063mW/1091mW
03-13-2025 06:37:53 RAM 4851/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [9%@1190,8%@1190,7%@1190,8%@1190,3%@1190,5%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@40C CPU@40C thermal@39.7C AO@39.5C GPU@38.5C iwlwifi@37C PMIC@50C VDD_IN 4710mW/4836mW VDD_CPU_GPU_CV 532mW/633mW VDD_SOC 1063mW/1090mW
03-13-2025 06:37:56 RAM 4852/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [18%@1421,13%@1420,9%@1419,11%@1420,10%@1421,6%@1419] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@40C CPU@40C thermal@39.4C AO@39.5C GPU@39C iwlwifi@37C PMIC@50C VDD_IN 5120mW/4844mW VDD_CPU_GPU_CV 860mW/639mW VDD_SOC 1063mW/1089mW
03-13-2025 06:38:00 RAM 4851/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [15%@1191,4%@1190,3%@1190,2%@1190,7%@1190,6%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@40C CPU@40C thermal@39.4C AO@39.5C GPU@39C iwlwifi@37C PMIC@50C VDD_IN 4710mW/4840mW VDD_CPU_GPU_CV 532mW/636mW VDD_SOC 1063mW/1089mW
03-13-2025 06:38:03 RAM 4852/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [12%@1190,7%@1181,6%@1190,5%@1190,3%@1186,6%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 8%@[114] VIC_FREQ 601 APE 150 AUX@40C CPU@40C thermal@39.4C AO@39.5C GPU@38.5C iwlwifi@36C PMIC@50C VDD_IN 4710mW/4837mW VDD_CPU_GPU_CV 532mW/633mW VDD_SOC 1063mW/1088mW
03-13-2025 06:38:06 RAM 4852/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [17%@1189,13%@1190,2%@1190,2%@1190,1%@1190,5%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@40C CPU@39.5C thermal@39.2C AO@39C GPU@38.5C iwlwifi@36C PMIC@50C VDD_IN 4751mW/4835mW VDD_CPU_GPU_CV 573mW/632mW VDD_SOC 1063mW/1087mW
03-13-2025 06:38:09 RAM 4840/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [23%@1190,16%@1190,12%@1190,7%@1190,11%@1190,5%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@39.5C CPU@39.5C thermal@39.2C AO@39C GPU@38.5C iwlwifi@37C PMIC@50C VDD_IN 4710mW/4831mW VDD_CPU_GPU_CV 532mW/629mW VDD_SOC 1063mW/1087mW
03-13-2025 06:38:12 RAM 4840/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [14%@1190,3%@1189,2%@1190,1%@1189,14%@1190,7%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@39.5C CPU@39.5C thermal@39.2C AO@39C GPU@38.5C iwlwifi@37C PMIC@50C VDD_IN 4751mW/4829mW VDD_CPU_GPU_CV 573mW/628mW VDD_SOC 1063mW/1086mW
03-13-2025 06:38:15 RAM 4842/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [9%@1190,5%@1190,4%@1190,3%@1343,13%@1343,9%@1420] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@39.5C CPU@39.5C thermal@38.9C AO@38.5C GPU@38C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4828mW VDD_CPU_GPU_CV 614mW/627mW VDD_SOC 1063mW/1086mW
